Q,pct,t,rmse,mae,max_abs
-40000.0,0.0,4.0,0.3339396036920341,0.24803805123643663,9.981937451171873
-40000.0,0.0,5.0,0.3091479058579427,0.2327044569502767,9.952679296875004
-40000.0,0.0,6.0,0.2707291951727812,0.20235718522054036,9.898877075195315
-40000.0,0.0,7.0,0.22759574973602853,0.16386358154364689,9.836225903320312
-40000.0,0.0,8.0,0.18602052885112993,0.12201670336208766,9.772451147460941
-40000.0,0.0,9.0,0.1510273848538575,0.08013846490587022,9.711591796874998
-40000.0,0.0,10.0,0.12721906332902264,0.044054694096815325,9.655726074218748
-40000.0,0.0,11.0,0.11776387308867281,0.03248577182291666,9.606008764648436
-40000.0,0.0,12.0,0.1215057166297741,0.04757424397772895,9.563094921875006
-40000.0,0.0,13.0,0.1331992083235393,0.0727246925185818,9.52721861572266
-40000.0,0.0,14.0,0.1474908793761788,0.09471209165527346,9.498817456054681
-40000.0,0.0,15.0,0.1609154764924282,0.11204584557888457,9.477803710937494
-40000.0,0.0,16.0,0.17160154922754,0.12447851152696399,9.4639109008789
-40000.0,0.0,17.0,0.17864427138845304,0.13203236398396812,9.45685646972656
-40000.0,0.0,18.0,0.18168353220550004,0.13483691750583227,9.456134155273432
-40000.0,0.0,19.0,0.18071706633753085,0.133117102214898,9.461075842285155
-40000.0,0.0,20.0,0.17599302617024057,0.12716281809312607,9.47116682128906
-40000.0,0.0,21.0,0.16796626133156992,0.11730639056586371,9.485507641601558
-40000.0,0.0,22.0,0.15730801834605376,0.10391072134073893,9.503552258300786
-40000.0,0.0,23.0,0.14498446168829027,0.08740831893785266,9.524392773437498
-40000.0,0.0,24.0,0.13238782739914828,0.06838897756279838,9.547267065429693
-40000.0,0.0,25.0,0.12153740495707677,0.04810488404866534,9.571474047851567
-40000.0,0.0,26.0,0.1151542223022187,0.02935233567735462,9.596366040039058
-40000.0,0.0,27.0,0.11614654547373778,0.026135061654595282,9.621371655273435
-40000.0,0.0,28.0,0.1262728284108623,0.05182826971313478,9.645880541992184
-40000.0,0.0,29.0,0.14527145952657744,0.0819657177239312,9.669373901367194
-40000.0,0.0,30.0,0.17151137903298486,0.11381972202826604,9.691209228515632
-42000.0,5.0,0.25,0.3102907657269502,0.1922790176363122,8.406420910644528
-42000.0,5.0,0.5,0.197759484325465,0.13001646836493602,9.063015148925786
-42000.0,5.0,0.75,0.1329140776834234,0.07592509524061415,9.44689711914063
-42000.0,5.0,1.0,0.1673176823759076,0.11297309349148217,9.334134667968755
-42000.0,5.0,2.0,0.295295356302698,0.19637034959933808,10.385337365722663
-42000.0,5.0,3.0,0.35031402846665816,0.24837799071723088,10.53793717041016
-42000.0,5.0,4.0,0.355411391888087,0.26087771377671987,10.57090217285156
-42000.0,5.0,5.0,0.3311162009798199,0.24691371424533426,10.543965332031249
-42000.0,5.0,6.0,0.29153172334669897,0.21647423160780158,10.48914654541015
-42000.0,5.0,7.0,0.24624507540736518,0.17690914423136397,10.423804687499995
-42000.0,5.0,8.0,0.20199677386880693,0.13339543375773114,10.356963488769537
-42000.0,5.0,9.0,0.1640741085429988,0.08954028997409395,10.29305512695312
-42000.0,5.0,10.0,0.13726161798771647,0.051019747355550156,10.234190795898442
-42000.0,5.0,11.0,0.12514398108321736,0.03456980739596897,10.181665881347655
-42000.0,5.0,12.0,0.12724747532622507,0.04667197409193251,10.136106555175786
-42000.0,5.0,13.0,0.13854784105059081,0.07308306540527344,10.097817187499999
-42000.0,5.0,14.0,0.1533255362709897,0.09675460478814019,10.067205688476562
-42000.0,5.0,15.0,0.16768131911712797,0.11571850351467555,10.044253808593751
-42000.0,5.0,16.0,0.17944652568126598,0.12961577049140083,10.028734033203122
-42000.0,5.0,17.0,0.18753939981239998,0.13842882191704642,10.020340917968753
-42000.0,5.0,18.0,0.19148854388239026,0.14225496880995012,10.01865294189453
-42000.0,5.0,19.0,0.19122340277536215,0.14129914048380537,10.023079101562502
-42000.0,5.0,20.0,0.18694687504359392,0.13583433445692278,10.03288942871093
-42000.0,5.0,21.0,0.17909459848200707,0.12619700561184355,10.047353955078123
-42000.0,5.0,22.0,0.1683198850412957,0.11276849211914063,10.065819006347652
-42000.0,5.0,23.0,0.15558063647652975,0.09599954310736761,10.087446166992194
-42000.0,5.0,24.0,0.14226596874008002,0.07646869197075741,10.11146568603516
-42000.0,5.0,25.0,0.1303970895589469,0.05526670504909938,10.137161218261724
-42000.0,5.0,26.0,0.12275478291945745,0.03484939984876847,10.163862194824219
-42000.0,5.0,27.0,0.12245796002740832,0.02613489208048505,10.190881970214846
-42000.0,5.0,28.0,0.1316446577987372,0.049879386986084004,10.217710192871095
-42000.0,5.0,29.0,0.15034291448704853,0.08117103606580947,10.243797546386716
-42000.0,5.0,30.0,0.17692761445580565,0.11457288974419488,10.268493896484372
-44000.0,10.0,0.25,0.33614537609185097,0.20807219395751972,8.823903198242192
-44000.0,10.0,0.5,0.21633169476093964,0.14325935008599178,9.523697167968749
-44000.0,10.0,0.75,0.14480696838362286,0.08611568845458985,9.935280505371097
-44000.0,10.0,1.0,0.18224164522797565,0.12563986336046007,9.821213427734378
-44000.0,10.0,2.0,0.3076101651343121,0.20137493166490344,10.951922424316408
-44000.0,10.0,3.0,0.36959240741725846,0.2589879000168186,11.126661511230466
-44000.0,10.0,4.0,0.378091321659547,0.27503598928656686,11.170060083007812
-44000.0,10.0,5.0,0.3545665914217011,0.26264196044609917,11.14657861328125
-44000.0,10.0,6.0,0.3139704342747309,0.23226181723212347,11.091188220214846
-44000.0,10.0,7.0,0.26656967164157575,0.191736382980957,11.023471752929694
-44000.0,10.0,8.0,0.21956979618908737,0.14663365764851888,10.95360389404297
-44000.0,10.0,9.0,0.17850658351768386,0.10088949629909942,10.886501562500001
-44000.0,10.0,10.0,0.14827996113885442,0.05947506574042427,10.824747070312497
-44000.0,10.0,11.0,0.1328240945920767,0.03694831083374023,10.769384033203124
-44000.0,10.0,12.0,0.1324706707978238,0.04415561069525828,10.721286853027337
-44000.0,10.0,13.0,0.14268219997169523,0.07152726033298068,10.680684423828126
-44000.0,10.0,14.0,0.1574708013549205,0.09681189457750106,10.647985473632815
-44000.0,10.0,15.0,0.17245761165344028,0.11737963379611543,10.623080200195318
-44000.0,10.0,16.0,0.18512523027151853,0.13273810850979276,10.605910571289058
-44000.0,10.0,17.0,0.1941693787745085,0.1428149909148492,10.596248254394524
-44000.0,10.0,18.0,0.19900282211489448,0.14769359373942056,10.593541210937502
-44000.0,10.0,19.0,0.19946841187514278,0.14754783410712344,10.597298437500001
-44000.0,10.0,20.0,0.1957214480739213,0.14263629211927628,10.606851818847659
-44000.0,10.0,21.0,0.18817034078801997,0.13328701072496202,10.62137138671875
-44000.0,10.0,22.0,0.17746408659398244,0.11990188928100586,10.640172949218751
-44000.0,10.0,23.0,0.1645646419520653,0.10293883155788844,10.662525720214845
-44000.0,10.0,24.0,0.15087859032074324,0.08296813215047202,10.68751417236328
-44000.0,10.0,25.0,0.13846099461633002,0.06096134689276803,10.714621960449222
-44000.0,10.0,26.0,0.13015390567991006,0.03934369398261174,10.742970886230466
-44000.0,10.0,27.0,0.12921628847687688,0.028124152535807304,10.772051416015628
-44000.0,10.0,28.0,0.13801891999049565,0.04972297831624349,10.801130310058596
-44000.0,10.0,29.0,0.15678980095659673,0.08174693062160916,10.829750622558592
-44000.0,10.0,30.0,0.183928603004812,0.11650237897284611,10.857239331054686
-45000.0,12.5,0.25,0.3494657624565585,0.21641714243882937,9.032741625976556
-45000.0,12.5,0.5,0.22595099350749892,0.1502176687304688,9.754715161132808
-45000.0,12.5,0.75,0.1510769594491737,0.09151133332234702,10.180494140625001
-45000.0,12.5,1.0,0.18980966370715557,0.13199733664564348,10.065915893554688
-45000.0,12.5,2.0,0.3139393863553516,0.20434076566501194,11.23768076171875
-45000.0,12.5,3.0,0.379566804495299,0.26479763324327255,11.424411694335944
-45000.0,12.5,4.0,0.3899233734830798,0.2826976047987196,11.473819555664065
-45000.0,12.5,5.0,0.3669069315260881,0.2711741507937283,11.452375170898435
